index,Lab 1 ,Lab 2 ,Lab 3 ,Lab 4 ,Lab 5 ,Lab 6,Lab 7 ,Lab 8 ,Lab 9 ,Lab 10 ,Lab 11 ,Lab 12 ,Assignment 1,Assignment 2 ,Assignment 3 ,Assignment 4 ,Midterm,Grade
1,100,100,100,100,98,100,100,99,100,0,100,100,100,110,83,93,7,Good
1,100,99,100,99,100,96,100,99,98,99,100,100,40,53,0,0,4,High-risk
1,100,100,100,100,100,100,99,100,97,100,100,100,64,100,90,120,7,Good
1,100,100,100,100,95,100,100,99,100,100,100,100,90,95,90,44,8,OK
1,100,100,100,100,100,97,100,97,100,100,100,100,97,69,78,56,4,High-risk
1,100,99,100,100,100,98,98,100,100,99,100,100,98,110,110,103,9,Good
1,100,100,100,100,98,98,100,100,100,100,100,98,110,95,118,112,5,Good
1,100,100,100,100,90,85,99,100,0,100,100,0,0,86,34,60,0,High-risk
1,100,97,100,100,100,97,98,96,100,99,98,98,91,95,93,96,4,OK
1,100,100,100,100,93,100,100,100,100,100,100,100,100,94,59,69,8,OK
1,100,100,100,100,100,100,98,97,100,100,100,100,100,100,60,101,9,Good
1,100,100,100,100,90,100,93,100,100,0,100,100,81,100,98,101,6,Good
1,100,100,100,100,100,98,100,100,100,100,100,100,101,98,115,110,8,Good
1,100,100,100,100,95,100,98,100,100,100,100,100,70,107,105,110,9,Good
1,100,97,100,100,98,0,98,100,100,100,0,100,96,0,0,0,9,High-risk
1,100,100,100,100,0,100,100,99,96,0,100,100,82,43,77,90,10,High-risk
1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High-risk
1,100,100,100,100,100,97,100,99,98,98,100,100,97,110,105,106,7,Good
1,100,100,100,99,100,100,100,97,100,100,100,100,105,108,96,57,7,Good
1,100,100,100,99,97,98,99,100,100,100,100,97,83,90,65,77,6,OK
1,100,100,100,100,99,0,0,99,95,0,50,100,100,105,98,45,6,OK
1,100,99,100,100,97,99,100,100,100,100,100,100,98,41,82,92,8,OK
1,98,100,100,100,100,97,98,99,100,100,100,98,102,109,108,94,7,Good
1,100,99,98,100,100,99,97,98,98,100,100,99,92,108,110,100,6,Good
1,100,100,100,100,100,98,100,100,100,100,100,100,99,98,115,110,8,Good
1,100,99,98,100,99,99,96,98,98,100,100,100,86,92,72,103,4,OK
1,100,100,0,100,88,92,99,99,0,100,100,100,92,0,97,37,3,High-risk
1,100,99,100,100,98,97,97,98,100,100,98,100,97,108,93,91,9,Good
1,100,100,100,100,88,85,98,100,0,100,100,100,92,86,34,60,3,High-risk
1,100,100,0,100,88,92,99,99,0,100,100,100,92,0,97,37,6,High-risk
1,100,100,100,100,90,82,99,100,97,100,100,100,85,85,42,100,0,High-risk
1,100,99,100,99,100,97,100,99,100,100,100,100,97,101,97,67,9,Good
1,100,100,100,100,98,100,100,100,100,100,100,98,94,103,110,113,6,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,96,96,100,100,10,Good
1,100,100,100,97,97,100,100,100,100,100,100,98,38,0,67,37,5,High-risk
1,100,98,100,96,97,93,99,100,100,0,100,100,53,61,61,81,5,High-risk
1,100,100,100,100,0,95,95,100,100,100,100,100,100,88,79,53,4,High-risk
1,100,100,100,98,100,92,100,100,100,100,100,97,99,107,89,106,6,Good
1,100,99,100,100,100,97,100,99,95,100,100,100,39,100,86,96,5,OK
1,100,99,0,99,99,98,93,100,100,99,0,97,53,98,101,98,3,OK
1,100,100,100,100,100,95,100,99,97,100,100,100,100,100,90,120,10,Good
1,100,100,100,100,96,96,100,100,100,100,100,98,89,89,82,77,7,OK
1,100,100,100,100,96,96,100,100,100,100,100,98,92,104,90,90,4,OK
1,100,100,100,100,92,95,95,99,100,100,100,100,100,54,98,58,9,OK
1,100,100,100,100,100,95,100,99,100,100,100,100,100,110,83,93,10,Good
1,100,100,100,100,90,90,99,0,97,100,100,0,90,105,64,75,9,OK
1,100,100,100,100,100,98,100,100,100,100,100,98,100,94,91,95,9,Good
1,100,100,100,100,100,100,99,100,96,100,100,100,100,100,97,102,7,Good
1,100,99,100,100,97,97,97,98,100,100,98,100,100,110,110,103,6,Good
1,100,100,100,100,100,99,100,100,100,100,100,98,94,110,98,101,8,Good
1,100,100,100,100,98,99,99,100,100,100,0,98,97,95,118,112,8,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,100,110,105,95,10,Good
1,100,100,100,100,100,98,100,100,99,100,100,100,100,108,96,57,6,OK
1,100,100,100,100,97,98,0,100,100,100,100,100,84,90,65,77,6,High-risk
1,100,100,100,99,97,96,100,100,100,100,100,98,99,104,85,88,9,Good
1,100,100,99,99,100,98,100,99,100,100,100,98,94,107,89,106,7,Good
1,100,100,100,99,98,97,98,99,95,100,100,100,97,100,86,96,7,Good
1,100,100,100,100,95,95,98,100,100,100,100,100,100,104,90,90,9,Good
1,100,100,100,100,100,90,99,0,0,100,100,100,0,0,0,0,6,High-risk
1,100,100,100,100,92,98,100,100,100,100,100,100,110,115,105,114,10,Good
1,100,97,100,100,98,97,98,97,99,100,100,99,96,110,101,99,8,Good
1,100,100,0,100,98,100,100,100,100,100,90,100,0,89,0,0,5,High-risk
1,100,100,100,100,100,100,99,100,96,0,100,100,96,115,98,102,6,Good
1,100,100,100,100,100,95,100,100,100,100,100,100,97,110,98,101,8,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,100,110,113,96,10,Good
1,100,100,100,100,95,99,99,100,100,0,0,0,57,0,45,23,0,High-risk
1,100,100,100,100,100,98,100,100,100,100,100,100,100,115,98,102,10,Good
1,100,100,100,100,100,90,100,100,100,100,100,100,91,108,78,55,7,OK
1,100,97,100,100,100,98,100,100,100,100,100,97,93,100,100,96,10,Good
1,100,100,100,100,98,98,98,98,100,100,100,100,92,89,85,93,8,Good
1,100,100,100,98,98,98,100,100,100,100,100,98,92,96,100,100,8,Good
1,100,99,100,99,100,97,96,99,98,100,100,100,0,101,97,67,0,High-risk
1,100,100,100,100,95,98,100,100,100,100,100,100,100,105,64,75,9,OK
1,100,100,100,99,97,100,98,90,99,100,100,100,96,108,97,96,9,Good
1,100,100,100,100,100,95,99,100,100,100,100,100,100,110,113,96,7,Good
1,100,96,100,99,100,97,100,99,98,98,100,100,97,110,105,106,7,Good
1,100,100,100,100,100,99,100,100,97,100,100,100,100,92,110,102,10,Good
1,100,99,100,99,100,99,100,99,98,100,0,100,69,105,89,75,7,OK
1,100,98,100,97,98,89,99,100,100,0,100,100,84,61,61,81,4,High-risk
1,100,100,100,100,95,100,100,100,100,100,100,100,106,105,69,97,7,Good
1,100,100,100,100,0,0,0,0,0,0,0,0,0,105,98,0,6,High-risk
1,0,0,0,100,0,0,0,100,100,0,0,97,88,93,81,47,4,High-risk
1,100,100,100,100,0,96,95,100,98,99,98,99,100,92,72,103,6,OK
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High-risk
1,100,100,100,100,95,100,96,98,100,100,98,100,97,108,97,96,8,Good
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High-risk
1,100,100,100,99,0,99,100,100,100,0,97,100,29,107,69,98,7,High-risk
1,100,0,100,100,100,100,0,0,0,0,0,0,92,85,70,0,7,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,100,105,110,102,9,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,0,100,95,110,0,High-risk
1,100,99,100,99,0,99,0,100,100,0,97,100,95,71,64,83,9,High-risk
1,0,100,100,100,99,100,0,100,100,100,99,100,87,112,100,102,9,Good
1,100,99,100,100,100,100,100,100,100,100,100,100,100,110,98,100,7,Good
1,100,100,100,100,100,100,100,100,100,0,100,100,100,106,99,100,6,Good
1,100,100,100,98,99,99,100,100,100,98,100,100,100,90,85,80,9,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,76,100,67,100,6,OK
1,100,100,100,100,100,100,100,100,100,0,100,100,68,80,92,94,7,OK
1,100,100,100,100,100,100,100,100,100,100,100,100,0,80,92,94,9,High-risk
1,100,100,100,99,100,99,100,100,100,100,97,100,89,107,100,88,5,Good
1,100,100,100,100,100,100,0,100,100,100,97,100,99,107,69,98,8,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,50,96,96,110,7,OK
1,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,105,10,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,100,95,105,105,7,Good
1,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,6,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,90,100,105,105,9,Good
1,100,99,100,100,100,100,100,100,100,100,100,100,70,97,98,99,9,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,100,90,92,95,10,Good
1,100,100,100,100,100,99,100,100,100,100,99,100,79,100,105,107,9,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,13,90,70,100,7,High-risk
1,100,100,100,100,100,0,100,100,100,100,99,100,92,95,65,100,5,OK
1,100,99,100,100,100,100,100,100,100,100,100,100,100,110,110,100,10,Good
1,100,100,100,100,100,100,0,100,100,0,100,100,100,75,20,90,9,High-risk
1,100,99,100,99,100,100,100,100,100,100,100,100,75,110,98,100,10,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,99,110,77,100,8,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,100,106,99,100,9,Good
1,97,100,100,99,100,96,98,100,0,100,99,98,85,60,80,91,9,OK
1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,99,7,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,94,110,99,35,0,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,33,100,106,110,9,OK
1,100,100,100,100,100,100,100,0,100,0,0,0,36,98,100,85,5,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,93,110,85,98,7,Good
1,100,100,100,100,100,100,100,100,100,100,100,110,100,110,100,99,10,Good
1,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,10,Good
1,100,100,100,100,100,0,0,100,0,0,0,0,65,78,92,95,6,High-risk
1,100,99,99,99,100,99,100,100,100,0,100,100,76,100,100,85,0,OK
1,100,99,99,100,100,99,100,100,100,100,100,100,94,100,95,107,6,Good
1,100,99,100,100,100,100,100,100,100,100,100,100,100,100,102,100,5,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,0,109,0,94,7,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,106,110,9,Good
1,100,50,100,100,100,100,100,100,100,100,100,100,0,0,57,77,9,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,105,10,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,105,7,Good
1,100,50,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,High-risk
1,100,100,100,100,99,100,100,100,100,99,97,100,80,105,105,102,8,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,15,95,80,97,9,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,26,90,70,100,6,High-risk
1,100,100,99,99,98,99,0,100,100,100,100,99,90,100,94,85,6,OK
1,100,100,99,100,100,100,100,100,100,100,100,100,98,105,70,95,6,OK
1,100,100,100,100,100,100,100,0,100,0,100,100,100,100,100,105,9,Good
1,100,100,100,100,99,100,99,100,100,100,100,100,95,110,110,109,8,Good
1,100,99,100,100,100,100,99,100,100,100,99,100,36,100,67,93,6,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,73,100,67,100,6,OK
1,97,100,100,100,100,100,100,100,100,99,97,100,98,110,110,109,9,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,100,109,0,94,9,OK
1,100,100,100,100,98,100,99,100,100,0,100,100,30,0,0,0,9,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,99,110,100,105,6,Good
1,99,99,99,99,100,0,0,0,0,0,0,0,0,0,0,0,0,High-risk
1,100,99,100,100,100,100,100,100,100,100,100,100,60,110,100,99,9,Good
1,100,99,100,100,100,100,0,100,100,0,97,100,100,95,65,100,5,OK
1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,99,9,Good
1,100,100,100,100,98,99,100,100,100,100,100,100,96,109,97,107,9,Good
1,100,100,98,99,99,100,98,100,100,99,100,100,0,82,80,96,8,High-risk
1,97,100,100,100,99,100,100,100,100,100,100,100,97,112,99,105,9,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,100,95,105,105,10,Good
1,100,100,100,98,99,99,100,100,100,98,100,100,98,90,85,80,8,OK
1,100,100,100,100,100,100,100,100,100,100,100,100,100,82,80,95,6,OK
1,100,99,100,100,100,100,100,100,100,100,100,100,61,97,98,99,0,OK
1,100,100,100,100,100,100,100,100,100,100,0,100,0,0,100,88,7,High-risk
1,100,100,100,100,97,100,100,100,100,100,100,100,68,110,100,105,8,Good
1,100,100,100,100,98,99,100,100,100,100,100,100,97,109,97,107,8,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,95,100,105,105,10,Good
1,97,100,100,99,99,100,100,100,100,100,99,99,100,93,0,92,8,High-risk
1,100,99,100,100,100,100,99,100,100,100,99,100,53,100,67,93,9,OK
1,100,100,100,100,100,100,0,100,100,0,100,100,90,75,20,90,6,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,99,95,80,97,8,Good
1,100,100,100,100,100,100,100,100,100,0,100,100,9,105,70,95,0,High-risk
1,100,100,100,100,100,100,100,100,100,50,100,100,81,53,90,100,10,OK
1,100,100,100,100,99,100,99,100,100,99,100,100,89,90,92,95,9,Good
1,97,100,99,99,96,99,99,100,100,100,97,100,97,78,92,95,0,OK
1,100,100,99,100,100,100,100,100,100,100,100,100,100,100,102,100,9,Good
1,100,100,99,100,100,100,100,100,100,100,100,100,34,53,90,100,6,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,95,65,57,0,7,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,100,90,98,98,9,Good
1,100,99,100,100,100,100,100,100,100,100,100,100,100,110,110,100,3,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,110,10,Good
1,100,100,99,99,99,97,0,0,0,0,0,0,93,106,44,92,8,High-risk
1,100,0,0,100,100,0,0,0,0,0,0,0,97,0,0,0,0,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,99,96,96,110,9,Good
1,100,99,100,100,100,99,100,100,100,0,100,95,81,102,94,94,6,OK
1,0,100,100,100,100,100,100,100,100,100,100,100,88,103,97,99,7,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,100,92,98,104,7,Good
1,100,99,100,100,100,100,100,95,100,0,100,100,49,67,75,53,7,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,82,104,95,69,6,OK
1,100,100,100,100,100,100,100,100,100,100,100,100,80,83,68,70,7,High-risk
1,100,100,100,100,100,100,100,100,100,0,100,100,95,79,100,99,7,Good
1,100,100,90,99,100,95,100,96,100,95,100,100,30,110,88,82,5,High-risk
1,100,100,100,100,100,100,100,0,0,0,100,0,51,70,101,85,7,High-risk
1,100,100,100,100,100,100,100,99,100,99,100,100,90,105,80,101,7,Good
1,100,100,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,96,105,80,35,7,OK
1,100,99,100,99,100,100,100,100,100,100,100,100,93,109,95,96,5,Good
1,100,100,100,0,0,0,0,0,0,0,0,0,75,85,99,88,7,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,87,107,70,95,7,OK
1,100,100,100,100,100,100,100,100,100,100,100,100,100,109,97,90,7,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,95,109,97,90,7,Good
1,100,100,100,99,100,100,100,100,100,100,100,100,74,97,100,98,7,Good
1,100,100,100,100,100,100,100,0,0,0,0,0,90,81,0,0,0,High-risk
1,100,100,100,100,100,100,100,100,100,0,100,100,0,0,42,98,6,High-risk
1,100,99,100,99,100,100,100,0,0,0,100,100,100,60,104,96,7,OK
1,100,100,100,100,100,100,100,100,100,99,100,100,97,99,95,100,6,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,98,103,88,101,7,Good
1,100,100,100,100,100,100,100,95,100,100,100,100,79,70,89,87,7,OK
1,100,100,100,100,100,100,100,95,100,95,100,100,68,90,74,93,6,OK
1,100,100,100,99,100,100,100,98,100,100,99,100,72,92,73,93,6,OK
1,100,100,100,100,100,100,100,100,100,95,100,100,98,102,94,94,9,Good
1,100,100,100,99,0,100,100,100,100,99,100,100,66,102,94,98,7,OK
1,100,100,100,100,100,100,100,90,100,95,100,100,0,89,0,3,0,High-risk
1,100,100,100,99,100,100,100,99,99,100,100,100,21,80,99,85,7,High-risk
1,100,100,99,0,0,0,100,99,100,0,0,0,96,79,66,104,8,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,100,106,85,104,7,Good
1,100,100,100,99,95,100,100,95,100,100,100,100,84,80,99,85,7,OK
1,100,100,100,100,100,100,100,100,100,95,100,100,100,99,100,99,9,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,91,102,96,102,8,Good
1,100,100,100,99,100,100,100,100,100,100,100,100,100,109,95,96,7,Good
1,100,100,100,100,98,93,95,100,100,95,100,100,8,90,74,69,7,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,96,104,105,107,6,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,98,103,97,99,9,Good
1,100,100,100,100,100,100,100,100,100,0,100,100,98,102,85,97,4,OK
1,100,100,100,100,100,100,100,100,100,0,100,99,65,93,97,87,6,OK
1,100,100,99,100,97,98,100,100,100,100,100,100,100,110,98,95,5,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,100,113,101,99,0,Good
1,100,100,100,100,100,100,100,90,100,95,100,100,16,75,74,87,6,High-risk
1,100,100,100,100,100,100,100,95,100,85,100,100,47,97,91,46,5,High-risk
1,100,100,100,100,100,100,100,100,100,95,100,100,100,99,100,99,7,Good
1,100,100,100,100,95,100,100,80,100,100,100,80,0,108,99,92,6,High-risk
1,100,100,100,100,100,100,100,95,100,100,0,100,86,70,89,93,5,OK
1,100,100,100,100,100,100,0,95,100,95,0,100,93,92,91,75,6,OK
1,100,100,100,100,100,100,100,100,100,100,100,100,94,82,80,98,7,OK
1,100,100,100,100,100,100,100,100,100,100,100,100,92,110,95,92,6,Good
1,100,100,90,100,100,95,100,97,100,100,100,100,90,110,88,82,7,Good
1,100,99,100,100,100,100,100,100,100,100,100,100,100,110,104,87,6,Good
1,100,99,100,100,100,100,100,100,100,0,100,100,98,93,97,87,7,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,100,110,109,104,7,Good
1,100,100,100,100,95,100,100,100,100,100,100,100,88,108,99,92,7,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,100,98,100,105,9,Good
1,100,100,99,100,99,100,99,92,100,0,100,100,82,78,47,93,7,High-risk
1,100,100,100,99,100,100,100,98,100,100,100,100,53,97,100,99,7,OK
1,100,100,100,100,100,100,100,100,100,100,100,100,94,114,99,98,5,Good
1,100,95,100,100,100,100,100,100,100,99,100,100,95,99,95,100,6,Good
1,100,100,100,99,100,100,100,100,100,100,100,100,96,99,102,102,9,Good
1,100,99,100,100,100,100,100,97,100,0,100,95,94,98,100,105,6,Good
1,100,100,100,100,97,100,100,0,0,0,100,100,84,94,74,53,8,High-risk
1,100,100,100,100,100,100,100,100,100,90,100,100,92,113,101,99,7,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,98,98,87,96,6,Good
1,100,100,100,100,100,0,100,98,96,0,0,0,0,0,0,0,6,High-risk
1,100,100,100,100,97,100,100,0,0,0,100,100,90,94,74,53,6,High-risk
1,100,100,100,100,100,0,100,100,100,100,100,0,46,103,97,102,7,OK
1,100,100,100,100,100,100,100,100,100,100,100,100,100,92,90,100,10,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,95,102,85,97,5,Good
1,100,100,100,100,100,100,100,100,100,90,100,100,81,93,96,84,6,OK
1,100,100,100,100,98,100,0,95,100,0,100,0,47,98,65,62,5,High-risk
1,100,100,100,100,95,95,100,95,100,95,95,95,85,93,96,84,8,OK
1,100,100,100,100,100,70,100,90,100,100,100,100,95,110,109,104,5,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,88,82,80,98,5,OK
1,100,100,100,100,100,100,100,100,100,0,100,100,96,65,82,100,4,OK
1,100,100,100,100,100,70,100,90,100,0,92,96,83,83,68,70,5,High-risk
1,100,95,100,99,100,100,100,100,100,100,100,100,100,110,98,95,6,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,81,103,88,101,8,Good
1,100,100,100,100,100,100,100,100,100,85,100,100,0,12,91,101,5,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,100,97,100,99,8,Good
1,100,100,99,100,99,100,0,100,0,0,0,0,34,83,47,93,3,High-risk
1,100,100,100,100,100,100,100,98,100,100,0,100,86,92,90,95,8,OK
1,0,100,100,100,100,100,100,100,100,0,100,100,100,99,90,100,8,Good
1,100,100,100,100,100,100,100,100,100,0,100,100,95,79,100,99,8,Good
1,100,100,100,100,100,100,100,100,100,0,99,99,96,108,82,94,4,OK
1,100,100,100,100,100,0,100,85,100,85,0,0,78,88,55,54,7,High-risk
1,100,100,100,99,100,100,100,95,100,0,100,100,49,92,73,93,4,High-risk
1,100,100,99,100,97,98,100,100,100,100,100,0,57,87,0,7,High-risk,
1,100,0,100,0,97,92,93,0,0,0,0,0,75,84,83,5,High-risk,
1,100,100,100,0,98,100,0,100,100,0,100,0,50,98,65,62,5,High-risk
1,100,100,100,100,95,100,100,100,100,100,100,100,91,92,90,100,5,OK
1,100,100,100,100,100,100,100,100,100,100,100,100,100,106,95,99,8,Good
1,100,100,100,99,95,100,100,100,100,99,100,100,70,102,94,98,6,OK
1,100,100,0,0,0,0,0,0,0,0,0,0,77,0,0,0,High-risk,
1,100,100,100,100,100,100,100,97,100,100,0,100,73,75,74,87,6,High-risk
1,100,100,100,100,100,99,100,100,100,100,100,100,18,80,72,84,7,High-risk
1,100,100,100,100,95,98,100,95,100,95,100,100,43,89,90,63,5,High-risk
1,100,99,100,100,100,100,100,96,100,85,100,100,16,70,101,85,7,High-risk
1,100,98,100,100,100,100,100,100,100,100,100,100,100,106,85,104,4,Good
1,100,100,100,100,100,100,100,100,100,95,100,100,78,110,104,87,6,Good
1,100,100,100,100,100,100,100,0,0,95,100,0,48,102,93,92,6,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,97,102,96,102,7,Good
1,100,100,100,100,95,100,100,97,100,0,100,100,81,102,93,92,8,Good
1,100,100,100,100,100,100,100,100,100,85,100,100,92,108,82,94,5,OK
1,100,100,0,100,0,95,100,95,100,95,95,95,70,88,55,54,7,High-risk
1,100,100,100,100,100,100,100,100,100,0,100,100,84,73,42,98,5,High-risk
1,100,100,100,99,100,100,100,100,100,100,100,100,82,110,95,95,7,Good
1,100,95,100,100,100,99,100,100,100,100,100,100,93,97,91,96,5,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,98,65,82,100,5,OK
1,100,100,100,100,100,100,100,95,100,95,100,95,43,89,90,63,5,High-risk
1,100,100,99,99,100,100,100,98,100,100,100,100,74,110,95,95,7,Good
1,100,100,100,100,100,100,100,98,100,100,100,100,91,92,98,104,6,Good
1,100,100,0,100,0,0,100,0,100,0,0,0,50,65,83,77,7,High-risk
1,100,100,100,100,100,0,0,95,0,100,100,0,70,93,75,82,7,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,98,89,97,35,6,OK
1,100,100,100,99,100,100,100,100,100,100,100,100,94,97,100,98,7,Good
1,100,95,100,100,100,100,100,100,100,93,100,100,100,99,90,100,7,Good
1,100,0,100,100,100,100,100,100,100,0,100,100,84,67,75,53,5,High-risk
1,100,95,100,100,100,100,100,95,100,100,100,100,73,66,0,33,0,High-risk
1,100,100,100,100,100,100,0,97,100,0,100,0,86,114,99,98,5,OK
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High-risk
1,100,100,100,100,100,100,100,100,100,95,100,100,79,82,100,95,6,OK
1,100,100,100,100,100,100,100,100,100,100,100,100,96,104,95,69,6,OK
1,100,100,100,100,100,100,100,100,100,100,100,100,89,98,87,96,7,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,81,82,100,95,6,OK
1,100,100,100,100,100,100,100,100,100,100,100,100,94,104,102,107,5,Good
1,100,100,100,99,100,100,100,100,100,100,100,100,94,99,102,102,7,Good
1,100,100,100,100,100,99,100,98,96,95,100,100,82,84,77,65,6,High-risk
1,0,100,100,100,100,100,100,100,100,100,100,100,21,103,97,102,6,OK
1,100,100,100,100,0,100,0,0,0,0,0,0,95,50,0,60,6,High-risk
1,100,100,100,100,99,100,100,100,100,99,100,100,97,90,81,85,6,OK
1,100,100,100,100,100,100,100,95,100,100,100,100,100,113,110,109,8,Good
1,90,100,100,100,100,100,100,100,100,75,75,100,56,110,97,110,5,OK
1,90,100,100,100,99,100,0,100,100,0,0,34,39,90,84,84,7,High-risk
1,100,100,100,100,100,100,99,0,100,0,100,100,100,96,88,104,8,Good
