index,Lab 1 ,Lab 2 ,Lab 3 ,Lab 4 ,Lab 5 ,Lab 6,Lab 7 ,Lab 8 ,Lab 9 ,Assignment 1,Assignment 2 ,Assignment 3 ,Midterm,Grade
1,100,100,100,100,100,100,99,100,97,64,100,90,7,OK
1,100,100,100,100,95,100,100,99,100,90,95,90,8,Good
1,100,100,100,100,100,97,100,97,100,97,69,78,4,High-risk
1,100,99,100,100,100,98,98,100,100,98,110,110,9,Good
1,100,100,100,100,98,98,100,100,100,110,95,118,5,Good
1,100,100,100,100,90,85,99,100,0,0,86,34,0,High-risk
1,100,97,100,100,100,97,98,96,100,91,95,93,4,OK
1,100,100,100,100,93,100,100,100,100,100,94,59,8,OK
1,100,100,100,100,100,100,98,97,100,100,100,60,9,OK
1,100,100,100,100,90,100,93,100,100,81,100,98,6,Good
1,100,100,100,100,100,98,100,100,100,101,98,115,8,Good
1,100,100,100,100,95,100,98,100,100,70,107,105,9,Good
1,100,97,100,100,98,0,98,100,100,96,0,0,9,High-risk
1,100,100,100,100,0,100,100,99,96,82,43,77,10,High-risk
1,100,0,0,0,0,0,0,0,0,0,0,0,0,High-risk
1,100,100,100,100,100,97,100,99,98,97,110,105,7,Good
1,100,100,100,99,100,100,100,97,100,105,108,96,7,Good
1,100,100,100,99,97,98,99,100,100,83,90,65,6,OK
1,100,100,100,100,99,0,0,99,95,100,105,98,6,Good
1,100,99,100,100,97,99,100,100,100,98,41,82,8,High-risk
1,98,100,100,100,100,97,98,99,100,102,109,108,7,Good
1,100,99,98,100,100,99,97,98,98,92,108,110,6,Good
1,100,100,100,100,100,98,100,100,100,99,98,115,8,Good
1,100,99,98,100,99,99,96,98,98,86,92,72,4,OK
1,100,100,0,100,88,92,99,99,0,92,0,97,3,High-risk
1,100,99,100,100,98,97,97,98,100,97,108,93,9,Good
1,100,100,100,100,88,85,98,100,0,92,86,34,3,High-risk
1,100,100,0,100,88,92,99,99,0,92,0,97,6,High-risk
1,100,100,100,100,90,82,99,100,97,85,85,42,0,High-risk
1,100,99,100,99,100,97,100,99,100,97,101,97,9,Good
1,100,100,100,100,98,100,100,100,100,94,103,110,6,Good
1,100,100,100,100,100,100,100,100,100,96,96,100,10,Good
1,100,100,100,97,97,100,100,100,100,38,0,67,5,High-risk
1,100,98,100,96,97,93,99,100,100,53,61,61,5,High-risk
1,100,100,100,100,0,95,95,100,100,100,88,79,4,OK
1,100,100,100,98,100,92,100,100,100,99,107,89,6,Good
1,100,99,100,100,100,97,100,99,95,39,100,86,5,High-risk
1,100,99,0,99,99,98,93,100,100,53,98,101,3,High-risk
1,100,100,100,100,100,95,100,99,97,100,100,90,10,Good
1,100,100,100,100,96,96,100,100,100,89,89,82,7,OK
1,100,100,100,100,96,96,100,100,100,92,104,90,4,OK
1,100,100,100,100,92,95,95,99,100,100,54,98,9,OK
1,100,100,100,100,100,95,100,99,100,100,110,83,10,Good
1,100,100,100,100,90,90,99,0,97,90,105,64,9,OK
1,100,100,100,100,100,98,100,100,100,100,94,91,9,Good
1,100,100,100,100,100,100,99,100,96,100,100,97,7,Good
1,100,99,100,100,97,97,97,98,100,100,110,110,6,Good
1,100,100,100,100,100,99,100,100,100,94,110,98,8,Good
1,100,100,100,100,98,99,99,100,100,97,95,118,8,Good
1,100,100,100,100,100,100,100,100,100,100,110,105,10,Good
1,100,100,100,100,100,98,100,100,99,100,108,96,6,Good
1,100,100,100,100,97,98,0,100,100,84,90,65,6,High-risk
1,100,100,100,99,97,96,100,100,100,99,104,85,9,Good
1,100,100,99,99,100,98,100,99,100,94,107,89,7,Good
1,100,100,100,99,98,97,98,99,95,97,100,86,7,Good
1,100,100,100,100,95,95,98,100,100,100,104,90,9,Good
1,100,100,100,100,100,90,99,0,0,0,0,0,6,High-risk
1,100,100,100,100,92,98,100,100,100,110,115,105,10,Good
1,100,97,100,100,98,97,98,97,99,96,110,101,8,Good
1,100,100,0,100,98,100,100,100,100,0,89,0,5,High-risk
1,100,100,100,100,100,100,99,100,96,96,115,98,6,Good
1,100,100,100,100,100,95,100,100,100,97,110,98,8,Good
1,100,100,100,100,100,100,100,100,100,100,110,113,10,Good
1,100,100,100,100,95,99,99,100,100,57,0,45,0,High-risk
1,100,100,100,100,100,98,100,100,100,100,115,98,10,Good
1,100,100,100,100,100,90,100,100,100,91,108,78,7,Good
1,100,97,100,100,100,98,100,100,100,93,100,100,10,Good
1,100,100,100,100,98,98,98,98,100,92,89,85,8,OK
1,100,100,100,98,98,98,100,100,100,92,96,100,8,Good
1,100,99,100,99,100,97,96,99,98,0,101,97,0,High-risk
1,100,100,100,100,95,98,100,100,100,100,105,64,9,Good
1,100,100,100,99,97,100,98,90,99,96,108,97,9,Good
1,100,100,100,100,100,95,99,100,100,100,110,113,7,Good
1,100,96,100,99,100,97,100,99,98,97,110,105,7,Good
1,100,100,100,100,100,99,100,100,97,100,92,110,10,Good
1,100,99,100,99,100,99,100,99,98,69,105,89,7,OK
1,100,98,100,97,98,89,99,100,100,84,61,61,4,High-risk
1,100,100,100,100,95,100,100,100,100,106,105,69,7,Good
1,100,100,100,100,0,0,0,0,0,0,105,98,6,High-risk
1,0,0,0,100,0,0,0,100,100,88,93,81,4,High-risk
1,100,100,100,100,0,96,95,100,98,100,92,72,6,OK
1,0,0,0,0,0,0,0,0,0,0,0,0,0,High-risk
1,100,100,100,100,95,100,96,98,100,97,108,97,8,Good
1,0,0,0,0,0,0,0,0,0,0,0,0,0,High-risk
1,100,100,100,99,0,99,100,100,100,29,107,69,7,High-risk
1,100,0,100,100,100,100,0,0,0,92,85,70,7,High-risk
1,100,100,100,100,100,100,100,100,100,100,105,110,9,Good
1,100,100,100,100,100,100,100,100,100,0,100,95,0,High-risk
1,100,99,100,99,0,99,0,100,100,95,71,64,9,High-risk
1,0,100,100,100,99,100,0,100,100,87,112,100,9,Good
1,100,99,100,100,100,100,100,100,100,100,110,98,7,Good
1,100,100,100,100,100,100,100,100,100,100,106,99,6,Good
1,100,100,100,98,99,99,100,100,100,100,90,85,9,Good
1,100,100,100,100,100,100,100,100,100,76,100,67,6,OK
1,100,100,100,100,100,100,100,100,100,68,80,92,7,OK
1,100,100,100,100,100,100,100,100,100,0,80,92,9,High-risk
1,100,100,100,99,100,99,100,100,100,89,107,100,5,Good
1,100,100,100,100,100,100,0,100,100,99,107,69,8,OK
1,100,100,100,100,100,100,100,100,100,50,96,96,7,OK
1,100,100,100,100,100,100,100,100,100,99,100,100,10,Good
1,100,100,100,100,100,100,100,100,100,100,95,105,7,Good
1,100,100,100,100,100,100,100,0,100,100,100,100,6,Good
1,100,100,100,100,100,100,100,100,100,90,100,105,9,Good
1,100,99,100,100,100,100,100,100,100,70,97,98,9,Good
1,100,100,100,100,100,100,100,100,100,100,90,92,10,Good
1,100,100,100,100,100,99,100,100,100,79,100,105,9,Good
1,100,100,100,100,100,100,100,100,100,13,90,70,7,High-risk
1,100,100,100,100,100,0,100,100,100,92,95,65,5,OK
1,100,99,100,100,100,100,100,100,100,100,110,110,10,Good
1,100,100,100,100,100,100,0,100,100,100,75,20,9,High-risk
1,100,99,100,99,100,100,100,100,100,75,110,98,10,Good
1,100,100,100,100,100,100,100,100,100,99,110,77,8,Good
1,100,100,100,100,100,100,100,100,100,100,106,99,9,Good
1,97,100,100,99,100,96,98,100,0,85,60,80,9,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,97,7,Good
1,100,100,100,100,100,100,100,100,100,94,110,99,0,OK
1,100,100,100,100,100,100,100,100,100,33,100,106,9,OK
1,100,100,100,100,100,100,100,0,100,36,98,100,5,High-risk
1,100,100,100,100,100,100,100,100,100,93,110,85,7,Good
1,100,100,100,100,100,100,100,100,100,100,110,100,10,Good
1,100,100,100,100,100,100,100,0,100,100,100,100,10,Good
1,100,100,100,100,100,0,0,100,0,65,78,92,6,High-risk
1,100,99,99,99,100,99,100,100,100,76,100,100,0,OK
1,100,99,99,100,100,99,100,100,100,94,100,95,6,Good
1,100,99,100,100,100,100,100,100,100,100,100,102,5,Good
1,100,100,100,100,100,100,100,100,100,0,109,0,7,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,106,9,Good
1,100,50,100,100,100,100,100,100,100,0,0,57,9,High-risk
1,100,100,100,100,100,100,100,100,100,100,110,100,10,Good
1,100,100,100,100,100,100,100,100,100,100,110,100,7,Good
1,100,50,100,0,100,0,0,0,0,0,0,0,0,High-risk
1,100,100,100,100,99,100,100,100,100,80,105,105,8,Good
1,100,100,100,100,100,100,100,100,100,15,95,80,9,High-risk
1,100,100,100,100,100,100,100,100,100,26,90,70,6,High-risk
1,100,100,99,99,98,99,0,100,100,90,100,94,6,OK
1,100,100,99,100,100,100,100,100,100,98,105,70,6,OK
1,100,100,100,100,100,100,100,0,100,100,100,100,9,Good
1,100,100,100,100,99,100,99,100,100,95,110,110,8,Good
1,100,99,100,100,100,100,99,100,100,36,100,67,6,High-risk
1,100,100,100,100,100,100,100,100,100,73,100,67,6,OK
1,97,100,100,100,100,100,100,100,100,98,110,110,9,Good
1,100,100,100,100,100,100,100,100,100,100,109,0,9,High-risk
1,100,100,100,100,98,100,99,100,100,30,0,0,9,High-risk
1,100,100,100,100,100,100,100,100,100,99,110,100,6,Good
1,99,99,99,99,100,0,0,0,0,0,0,0,0,High-risk
1,100,99,100,100,100,100,100,100,100,60,110,100,9,Good
1,100,99,100,100,100,100,0,100,100,100,95,65,5,OK
1,100,100,100,100,100,100,100,100,100,100,100,97,9,Good
1,100,100,100,100,98,99,100,100,100,96,109,97,9,Good
1,100,100,98,99,99,100,98,100,100,0,82,80,8,High-risk
1,97,100,100,100,99,100,100,100,100,97,112,99,9,Good
1,100,100,100,100,100,100,100,100,100,100,95,105,10,Good
1,100,100,100,98,99,99,100,100,100,98,90,85,8,Good
1,100,100,100,100,100,100,100,100,100,100,82,80,6,OK
1,100,99,100,100,100,100,100,100,100,61,97,98,0,High-risk
1,100,100,100,100,100,100,100,100,100,0,0,100,7,High-risk
1,100,100,100,100,97,100,100,100,100,68,110,100,8,Good
1,100,100,100,100,98,99,100,100,100,97,109,97,8,Good
1,100,100,100,100,100,100,100,100,100,95,100,105,10,Good
1,97,100,100,99,99,100,100,100,100,100,93,0,8,High-risk
1,100,99,100,100,100,100,99,100,100,53,100,67,9,High-risk
1,100,100,100,100,100,100,0,100,100,90,75,20,6,High-risk
1,100,100,100,100,100,100,100,100,100,99,95,80,8,Good
1,100,100,100,100,100,100,100,100,100,9,105,70,0,High-risk
1,100,100,100,100,100,100,100,100,100,81,53,90,10,OK
1,100,100,100,100,99,100,99,100,100,89,90,92,9,Good
1,97,100,99,99,96,99,99,100,100,97,78,92,0,OK
1,100,100,99,100,100,100,100,100,100,100,100,102,9,Good
1,100,100,99,100,100,100,100,100,100,34,53,90,6,High-risk
1,100,100,100,100,100,100,100,100,100,95,65,57,7,High-risk
1,100,100,100,100,100,100,100,100,100,100,90,98,9,Good
1,100,99,100,100,100,100,100,100,100,100,110,110,3,Good
1,100,100,100,100,100,100,100,100,100,100,100,110,10,Good
1,100,100,99,99,99,97,0,0,0,93,106,44,8,High-risk
1,100,0,0,100,100,0,0,0,0,97,0,0,0,High-risk
1,100,100,100,100,100,100,100,100,100,99,96,96,9,Good
1,100,99,100,100,100,99,100,100,100,81,102,94,6,OK
1,0,100,100,100,100,100,100,100,100,88,103,97,7,Good
1,100,100,100,100,100,100,100,100,100,100,92,98,7,Good
1,100,99,100,100,100,100,100,95,100,49,67,75,7,High-risk
1,100,100,100,100,100,100,100,100,100,82,104,95,6,Good
1,100,100,100,100,100,100,100,100,100,80,83,68,7,OK
1,100,100,100,100,100,100,100,100,100,95,79,100,7,Good
1,100,100,90,99,100,95,100,96,100,30,110,88,5,High-risk
1,100,100,100,100,100,100,100,0,0,51,70,101,7,High-risk
1,100,100,100,100,100,100,100,99,100,90,105,80,7,Good
1,100,100,100,0,0,100,100,0,0,0,0,0,0,High-risk
1,100,100,100,100,100,100,100,100,100,96,105,80,7,Good
1,100,99,100,99,100,100,100,100,100,93,109,95,5,Good
1,100,100,100,0,0,0,0,0,0,75,85,99,7,High-risk
1,100,100,100,100,100,100,100,100,100,87,107,70,7,OK
1,100,100,100,100,100,100,100,100,100,100,109,97,7,Good
1,100,100,100,100,100,100,100,100,100,95,109,97,7,Good
1,100,100,100,99,100,100,100,100,100,74,97,100,7,OK
1,100,100,100,100,100,100,100,0,0,90,81,0,0,High-risk
1,100,100,100,100,100,100,100,100,100,0,0,42,6,High-risk
1,100,99,100,99,100,100,100,0,0,100,60,104,7,OK
1,100,100,100,100,100,100,100,100,100,97,99,95,6,Good
1,100,100,100,100,100,100,100,100,100,98,103,88,7,Good
1,100,100,100,100,100,100,100,95,100,79,70,89,7,OK
1,100,100,100,100,100,100,100,95,100,68,90,74,6,High-risk
1,100,100,100,99,100,100,100,98,100,72,92,73,6,OK
1,100,100,100,100,100,100,100,100,100,98,102,94,9,Good
1,100,100,100,99,0,100,100,100,100,66,102,94,7,OK
1,100,100,100,100,100,100,100,90,100,0,89,0,3,High-risk
1,100,100,100,99,100,100,100,99,99,21,80,99,7,High-risk
1,100,100,99,0,0,0,100,99,100,96,79,66,8,High-risk
1,100,100,100,100,100,100,100,100,100,100,106,85,7,Good
1,100,100,100,99,95,100,100,95,100,84,80,99,7,OK
1,100,100,100,100,100,100,100,100,100,100,99,100,9,Good
1,100,100,100,100,100,100,100,100,100,91,102,96,8,Good
1,100,100,100,99,100,100,100,100,100,100,109,95,7,Good
1,100,100,100,100,98,93,95,100,100,8,90,74,7,High-risk
1,100,100,100,100,100,100,100,100,100,96,104,105,6,Good
1,100,100,100,100,100,100,100,100,100,98,103,97,9,Good
1,100,100,100,100,100,100,100,100,100,98,102,85,4,OK
1,100,100,100,100,100,100,100,100,100,65,93,97,6,OK
1,100,100,99,100,97,98,100,100,100,100,110,98,5,Good
1,100,100,100,100,100,100,100,100,100,100,113,101,0,Good
1,100,100,100,100,100,100,100,90,100,16,75,74,6,High-risk
1,100,100,100,100,100,100,100,95,100,47,97,91,5,High-risk
1,100,100,100,100,100,100,100,100,100,100,99,100,7,Good
1,100,100,100,100,95,100,100,80,100,0,108,99,6,High-risk
1,100,100,100,100,100,100,100,95,100,86,70,89,5,OK
1,100,100,100,100,100,100,0,95,100,93,92,91,6,OK
1,100,100,100,100,100,100,100,100,100,94,82,80,7,OK
1,100,100,100,100,100,100,100,100,100,92,110,95,6,Good
1,100,100,90,100,100,95,100,97,100,90,110,88,7,Good
1,100,99,100,100,100,100,100,100,100,100,110,104,6,Good
1,100,99,100,100,100,100,100,100,100,98,93,97,7,Good
1,100,100,100,100,100,100,100,100,100,100,110,109,7,Good
1,100,100,100,100,95,100,100,100,100,88,108,99,7,Good
1,100,100,100,100,100,100,100,100,100,100,98,100,9,Good
1,100,100,99,100,99,100,99,92,100,82,78,47,7,High-risk
1,100,100,100,99,100,100,100,98,100,53,97,100,7,OK
1,100,100,100,100,100,100,100,100,100,94,114,99,5,Good
1,100,95,100,100,100,100,100,100,100,95,99,95,6,Good
1,100,100,100,99,100,100,100,100,100,96,99,102,9,Good
1,100,99,100,100,100,100,100,97,100,94,98,100,6,Good
1,100,100,100,100,97,100,100,0,0,84,94,74,8,OK
1,100,100,100,100,100,100,100,100,100,92,113,101,7,Good
1,100,100,100,100,100,100,100,100,100,98,98,87,6,Good
1,100,100,100,100,100,0,100,98,96,0,0,0,6,High-risk
1,100,100,100,100,97,100,100,0,0,90,94,74,6,OK
1,100,100,100,100,100,0,100,100,100,46,103,97,7,OK
1,100,100,100,100,100,100,100,100,100,100,92,90,10,Good
1,100,100,100,100,100,100,100,100,100,95,102,85,5,Good
1,100,100,100,100,100,100,100,100,100,81,93,96,6,OK
1,100,100,100,100,98,100,0,95,100,47,98,65,5,High-risk
1,100,100,100,100,95,95,100,95,100,85,93,96,8,Good
1,100,100,100,100,100,70,100,90,100,95,110,109,5,Good
1,100,100,100,100,100,100,100,100,100,88,82,80,5,OK
1,100,100,100,100,100,100,100,100,100,96,65,82,4,High-risk
1,100,100,100,100,100,70,100,90,100,83,83,68,5,High-risk
1,100,95,100,99,100,100,100,100,100,100,110,98,6,Good
1,100,100,100,100,100,100,100,100,100,81,103,88,8,Good
1,100,100,100,100,100,100,100,100,100,0,12,91,5,High-risk
1,100,100,100,100,100,100,100,100,100,100,97,100,8,Good
1,100,100,99,100,99,100,0,100,0,34,83,47,3,High-risk
1,100,100,100,100,100,100,100,98,100,86,92,90,8,Good
1,0,100,100,100,100,100,100,100,100,100,99,90,8,Good
1,100,100,100,100,100,100,100,100,100,95,79,100,8,Good
1,100,100,100,100,100,100,100,100,100,96,108,82,4,OK
1,100,100,100,100,100,0,100,85,100,78,88,55,7,High-risk
1,100,100,100,99,100,100,100,95,100,49,92,73,4,High-risk
1,100,100,99,100,97,98,100,100,100,57,87,0,7,High-risk
1,100,0,100,0,97,92,93,0,0,75,84,83,5,High-risk
1,100,100,100,0,98,100,0,100,100,50,98,65,5,High-risk
1,100,100,100,100,95,100,100,100,100,91,92,90,5,OK
1,100,100,100,100,100,100,100,100,100,100,106,95,8,Good
1,100,100,100,99,95,100,100,100,100,70,102,94,6,OK
1,100,100,0,0,0,0,0,0,0,77,0,0,0,High-risk
1,100,100,100,100,100,100,100,97,100,73,75,74,6,High-risk
1,100,100,100,100,100,99,100,100,100,18,80,72,7,High-risk
1,100,100,100,100,95,98,100,95,100,43,89,90,5,High-risk
1,100,99,100,100,100,100,100,96,100,16,70,101,7,High-risk
1,100,98,100,100,100,100,100,100,100,100,106,85,4,Good
1,100,100,100,100,100,100,100,100,100,78,110,104,6,Good
1,100,100,100,100,100,100,100,0,0,48,102,93,6,High-risk
1,100,100,100,100,100,100,100,100,100,97,102,96,7,Good
1,100,100,100,100,95,100,100,97,100,81,102,93,8,Good
1,100,100,100,100,100,100,100,100,100,92,108,82,5,Good
1,100,100,0,100,0,95,100,95,100,70,88,55,7,High-risk
1,100,100,100,100,100,100,100,100,100,84,73,42,5,High-risk
1,100,100,100,99,100,100,100,100,100,82,110,95,7,Good
1,100,95,100,100,100,99,100,100,100,93,97,91,5,OK
1,100,100,100,100,100,100,100,100,100,98,65,82,5,OK
1,100,100,100,100,100,100,100,95,100,43,89,90,5,High-risk
1,100,100,99,99,100,100,100,98,100,74,110,95,7,Good
1,100,100,100,100,100,100,100,98,100,91,92,98,6,Good
1,100,100,0,100,0,0,100,0,100,50,65,83,7,High-risk
1,100,100,100,100,100,0,0,95,0,70,93,75,7,High-risk
1,100,100,100,100,100,100,100,100,100,98,89,97,6,Good
1,100,100,100,99,100,100,100,100,100,94,97,100,7,Good
1,100,95,100,100,100,100,100,100,100,100,99,90,7,Good
1,100,0,100,100,100,100,100,100,100,84,67,75,5,High-risk
1,100,95,100,100,100,100,100,95,100,73,66,0,0,High-risk
1,100,100,100,100,100,100,0,97,100,86,114,99,5,Good
1,0,0,0,0,0,0,0,0,0,0,0,0,0,High-risk
1,100,100,100,100,100,100,100,100,100,79,82,100,6,OK
1,100,100,100,100,100,100,100,100,100,96,104,95,6,Good
1,100,100,100,100,100,100,100,100,100,89,98,87,7,Good
1,100,100,100,100,100,100,100,100,100,81,82,100,6,OK
1,100,100,100,100,100,100,100,100,100,94,104,102,5,Good
1,100,100,100,99,100,100,100,100,100,94,99,102,7,Good
1,100,100,100,100,100,99,100,98,96,82,84,77,6,OK
1,0,100,100,100,100,100,100,100,100,21,103,97,6,High-risk
1,100,100,100,100,0,100,0,0,0,95,50,0,6,High-risk
1,100,100,100,100,99,100,100,100,100,97,90,81,6,OK
1,100,100,100,100,100,100,100,95,100,100,113,110,8,Good
1,90,100,100,100,100,100,100,100,100,56,110,97,5,OK
1,90,100,100,100,99,100,0,100,100,39,90,84,7,High-risk
1,100,100,100,100,100,100,99,0,100,100,96,88,8,Good
1,100,100,100,100,99,100,99,100,100,60,57,88,8,High-risk
1,100,100,100,100,99,100,100,70,100,90,76,94,7,OK
1,100,100,100,100,100,100,100,94,100,86,100,86,7,OK
1,100,100,100,100,99,100,99,100,100,38,93,57,8,High-risk
1,100,100,100,100,99,100,100,100,100,93,93,57,7,OK
1,80,100,100,100,100,100,100,0,100,48,95,70,9,High-risk
1,100,100,100,100,99,100,100,99,100,92,106,88,8,Good
1,100,100,100,100,100,100,100,95,100,96,93,75,6,OK
1,100,100,100,100,100,100,100,100,100,94,97,97,4,Good
1,100,100,100,100,99,100,100,100,100,90,105,91,7,Good
1,100,100,100,100,99,100,97,90,100,93,100,34,6,High-risk
1,100,100,100,100,100,100,100,97,100,100,91,90,9,Good
1,90,100,100,100,100,100,93,99,100,0,93,49,5,High-risk
1,90,100,100,100,99,100,97,93,100,97,105,91,7,Good
1,100,100,100,100,100,0,97,100,100,96,95,100,7,Good
1,100,100,100,100,100,100,100,100,100,83,106,88,9,Good
1,100,100,100,100,0,100,100,93,100,24,74,79,7,High-risk
1,100,100,100,100,99,100,100,100,100,43,78,34,5,High-risk
1,100,100,100,100,99,100,100,70,100,100,95,99,5,Good
1,100,100,100,100,100,100,100,100,100,99,110,104,7,Good
1,100,100,100,100,99,100,100,100,100,94,93,75,7,OK
1,100,100,100,100,99,100,100,100,100,80,100,95,8,Good
1,100,100,100,100,99,100,100,98,100,95,110,104,6,Good
1,90,100,100,0,99,0,0,0,0,41,0,0,0,High-risk
1,100,100,100,100,99,100,100,94,100,100,100,86,9,Good
1,100,100,100,100,100,100,100,100,100,40,105,99,5,OK
1,100,100,100,100,99,100,99,100,100,100,110,97,9,Good
1,100,100,100,100,100,100,99,100,100,24,68,0,7,High-risk
1,100,100,100,100,100,100,100,93,100,100,100,34,6,High-risk
1,100,100,100,100,100,100,100,100,100,15,86,85,3,High-risk
1,100,100,100,100,100,100,100,93,100,100,96,95,9,Good
1,100,100,100,100,100,100,100,96,100,57,105,80,6,OK
1,100,100,100,100,100,0,93,95,90,86,86,85,4,OK
1,100,100,100,100,100,0,94,95,100,95,91,88,5,OK
1,100,100,100,100,100,100,0,0,100,40,95,44,7,High-risk
1,100,0,100,100,100,100,0,55,100,19,95,44,7,High-risk
1,100,100,100,100,99,98,99,100,100,45,74,79,6,High-risk
1,100,0,0,0,0,0,0,0,0,69,94,0,8,High-risk
1,100,100,100,100,99,100,100,100,100,39,53,0,6,High-risk
1,80,100,100,0,100,100,0,96,100,87,87,84,5,OK
