days online,views,contributions,questions,notes,answers,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Assignment 1,Assignment 2,Assignment 3,Grade
0,0,0,0,0,0,100,99,100,100,100,100,36,100,67.5,OK
7,33,0,0,0,0,100,100,100,100,98,100,30,0,0,High-risk
38,30,10,5,0,2,100,100,100,100,100,100,100,90,98,Good
0,0,0,0,0,0,97,100,100,99,100,96.5,85,60.5,80.5,High-risk
6,32,0,0,0,0,100,100,100,100,99,100,89,90,92,Good
23,52,5,3,0,1,100,100,100,100,100,100,93,110,85,OK
0,0,0,0,0,0,100,100,100,100,100,100,0,100,95,OK
0,0,0,0,0,0,100,99,100,100,100,100,100,110,110,Good
6,13,4,4,0,0,100,100,100,100,100,100,100,105,110,Good
0,0,0,0,0,0,100,100,100,100,100,100,100,95,105,OK
0,0,0,0,0,0,100,100,100,100,99,100,80,105,105,OK
65,59,0,0,0,0,100,100,100,100,100,100,99,110,77,Good
0,0,0,0,0,0,100,100,100,100,100,100,100,110,100,Good
21,58,1,1,0,0,100,99,100,100,100,100,53,100,67.5,OK
0,0,0,0,0,0,100,99,100,100,100,100,100,95,65,High-risk
0,0,0,0,0,0,99,99,99,99,100,0,0,0,0,High-risk
8,21,1,1,0,0,100,100,100,100,100,100,100,100,97,Good
9,15,0,0,0,0,100,100,100,100,98,99,96,109,97,Good
6,8,2,2,0,0,100,100,100,100,100,100,50,96,96,OK
0,0,0,0,0,0,100,100,100,100,100,100,33,100,106,Good
11,10,0,0,0,0,100,100,100,100,100,100,73.5,100,67,OK
10,24,2,1,0,1,100,100,100,100,100,100,0,80,92,OK
10,33,1,1,0,0,100,100,100,100,100,100,100,100,100,OK
0,0,0,0,0,0,100,100,100,100,100,100,76,100,67,OK
0,0,0,0,0,0,100,100,99,99,98,99.5,90,100,94,High-risk
35,13,0,0,0,0,100,100,100,100,100,100,81,53,90,OK
0,0,0,0,0,0,100,100,100,100,100,100,100,110,100,Good
0,0,0,0,0,0,99,96.5494505494506,98.8076923076923,98.7362637362637,98,94.3406593406593,77.2142857142857,91.9065934065934,82.1043956043956,High-risk
5,3,0,0,0,0,100,100,100,100,98,99.5,97,109,97,Good
8,29,1,1,0,0,100,100,100,100,100,100,13,90,70,High-risk
7,8,1,1,0,0,100,100,100,100,100,100,99,100,100,Good
14,26,0,0,0,0,100,100,100,100,100,100,100,100,110,Good
0,0,0,0,0,0,99,96.5494505494506,98.8076923076923,98.7362637362637,98,94.3406593406593,77.2142857142857,91.9065934065934,82.1043956043956,OK
3,20,2,1,0,1,100,100,100,99,100,99,89,107,100,Good
5,22,3,2,0,0,100,100,100,100,100,0,92,95,65,High-risk
0,0,0,0,0,0,100,100,99,99,99,97.5,93,106,44,High-risk
9,39,0,0,0,0,100,100,100,100,100,100,90,75,20,High-risk
0,0,0,0,0,0,100,100,100,100,100,100,99,107,69.5,OK
0,0,0,0,0,0,100,100,100,100,100,0,65,78,92,High-risk
0,0,0,0,0,0,100,100,100,100,100,100,36,98,100,High-risk
0,0,0,0,0,0,100,100,100,100,100,99,79,100,105,Good
